CommonField,Field,Priority
Profit,NetIncomeLoss,1
Profit,ProfitLoss,2
Profit,OperatingIncomeLoss,3
Profit,NetIncomeLossAvailableToCommonStockholdersBasic,4
Revenue,Revenues,1
Revenue,SalesRevenueNet,2
Revenue,SalesRevenueGoodsNet,3
Revenue,SalesRevenueServicesNet,4
Revenue,NetIncomeLoss,5 
Revenue,InterestIncomeExpenseNet,6
R&D,ResearchAndDevelopmentExpense,1
R&D,ResearchDevelopmentAndEngineeringExpenses,2
R&D,ResearchAndDevelopmentExpenseIncurred,3
R&D,ResearchAndDevelopmentAndOtherEngineering,4
R&D,ResearchAndDevelopmentProjectTotalCost,5
R&D,OtherResearchAndDevelopmentExpense,6
R&D,ResearchAndDevelopmentAndEngineeringExpense,7
R&D,ResearchAndDevelopmentCosts,8
R&D,DevelopmentCostsIncurredDuringPeriod,9
R&D,ResearchAndDevelopmentExpenses,10
